Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
10484,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197635,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487465
10485,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197636,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487427
10486,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197637,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487259
10487,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18157/2025-2026/239560,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),AMRINDER SINGH RAJA WARRING,LUDHIANA,20-Mar-26,SARABJEET SNGH HARBANS SINGH,Payment Success,33000
10488,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,27-Mar-26,Ritesh soni,Payment Success,30000
10489,Tamil Nadu,Construction of community centers and community halls,WS/MP393/2025-2026/206432,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Shri Karti P Chidambaram,SIVAGANGA,15-May-26,Bose,Payment Success,698766
10490,Tamil Nadu,Construction of community centers and community halls,WS/MP393/2025-2026/206431,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Shri Karti P Chidambaram,SIVAGANGA,25-Mar-26,Bose,Payment Success,699305
10491,Madhya Pradesh,Improvement of electricity distribution infrastructure,WS/MP18107/2025-2026/258142,JHABUA(DISTRICT COLLECTOR JHABUA_IDA),ANITA NAGARSINGH CHOUHAN,RATLAM(ST),17-Mar-26,Gram Panchayat Phool Dhawadi,Payment Success,232613
10492,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,27-Mar-26,Satya sai Traders,Payment Success,100000
10493,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,25-Jun-26,Satya sai Traders,Payment Success,320000
10494,Tripura,Development of playfields and sports grounds,WS/MP18197/2026-2027/273223,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),BIPLAB KUMAR DEB,TRIPURA WEST,28-Jul-26,Tripura School Sports Board,Payment Success,730129
10495,Gujarat,Construction of footpaths and pedestrian ways,WS/MP18055/2025-2026/179930,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,24-Mar-26,Sarpanch Gram Panchayat Khanpur,Payment Success,100000
10496,Tamil Nadu,Construction of rooms and halls in school and colleges,WS/MP18180/2025-2026/204508,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),ARUN NEHRU,PERAMBALUR,18-Mar-26,BOTHI RAMAKRISHNAN S,Payment Success,176353
10497,Maharashtra,Construction of community centers and community halls,WS/MP18118/2025-2026/252883,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),23-Apr-26,Dattatray Damodar Niphade,Payment Success,963785
10498,Maharashtra,Development of public parks,WS/MP18118/2025-2026/252884,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),24-Mar-26,Dattatray Damodar Niphade,Payment Success,936103
10499,Tamil Nadu,Construction of buildings for community cultural activities,WS/MP747/2026-2027/214843,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Manickam Tagore B,VIRUDHUNAGAR,14-May-26,S IMMANUVEL,Payment Success,999085
10500,Tamil Nadu,Construction of buildings for community cultural activities,WS/MP747/2025-2026/214889,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Manickam Tagore B,VIRUDHUNAGAR,17-Mar-26,S IMMANUVEL,Payment Success,999358
10501,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18021/2025-2026/267282,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,19-Mar-26,Simulbari Anchalik,Payment Success,300000
10502,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP692/2026-2027/185183,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,24-Jun-26,KHAIRE SHAILESH BABAN,Payment Success,995482
10503,Assam,Construction of culverts and bridges,WS/MP18026/2025-2026/241742,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),18-Mar-26,BIJIT BRAHMA,Payment Success,1125000
10504,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18009/2024-2025/176257,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),B K PARTHASARATHI,HINDUPUR,11-Apr-26,SOMANA BOYANA VENKATA CHALAPATHI,Payment Success,481436
10505,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2025-2026/217255,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,23-Mar-26,PRAJWAL K,Payment Success,375000
10506,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2025-2026/217255,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,30-Jun-26,PRAJWAL K,Payment Success,124815
10507,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/260075,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,18-Mar-26,Sangeet Contractor,Payment Success,599920
10508,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/273318,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,16-Apr-26,Sangeet Contractor,Payment Success,149099
10509,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/273316,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,16-Apr-26,Sangeet Contractor,Payment Success,249575
10510,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/261190,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,18-Mar-26,Sangeet Contractor,Payment Success,499933
10511,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2026-2027/299805,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,19-Aug-26,Sangeet Contractor,Payment Success,499967
10512,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2026-2027/278593,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,19-Jun-26,Sangeet Contractor,Payment Success,316429
