"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4396","Assam","Construction of community centers and community halls","WS/MP073/2025-2026/249790","BONGAIGAON(Deputy Commissioner Bongaigaon_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","03-Jul-2026","CONSTRUCTION OF ZUBEEN GARG KHETRA","Payment Success","1200000"
"4397","Tamil Nadu","Construction of community centers and community halls","WS/MP165/2026-2027/213228","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","17-Aug-2026","PARAMESWARI V","Payment Success","1327648"
"4398","Tamil Nadu","Purchase of hospital equipment","WS/MP165/2024-2025/177920","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Nipro Medical India Private Limited","Payment Success","598500"
"4399","Tamil Nadu","Purchase of hospital equipment","WS/MP165/2024-2025/177920","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Nipro Medical India Private Limited","Payment Success","598500"
"4400","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18283/2025-2026/238290","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","10-Feb-2026","MAMATA SAHOO","Payment Success","900000"
"4401","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP132/2025-2026/167732","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","24-Dec-2025","MAMATA SAHOO","Payment Success","200000"
"4402","Punjab","Setting up of community effluent treatment plants","WS/MP140/2024-2025/177654","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","01-Jan-2026","AVTAR SINGH","Payment Success","39000"
"4403","Punjab","Setting up of community effluent treatment plants","WS/MP140/2024-2025/177654","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","01-Jan-2026","AVTAR SINGH","Payment Success","56550"
"4404","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP831/2025-2026/179712","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","14-Jul-2026","RAKET BRAHMA","Payment Success","500000"
"4405","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2025-2026/147357","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","11-Mar-2026","RAKET BRAHMA","Payment Success","125000"
"4406","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2025-2026/147357","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","24-Dec-2025","RAKET BRAHMA","Payment Success","375000"
"4407","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP831/2025-2026/179712","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","05-Feb-2026","RAKET BRAHMA","Payment Success","1500000"
"4408","Assam","Construction of buildings for community cultural activities","WS/MP831/2025-2026/217518","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","02-Apr-2026","RAKET BRAHMA","Payment Success","750000"
"4409","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP078/2023-2024/25527","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Dec-2025","EOMC Nahan","Payment Success","500000"
"4410","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18362/2026-2027/275393","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","Executive Eng MPEB Mandsaur","Payment Success","143000"
"4411","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18362/2026-2027/285266","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","21-Jul-2026","Executive Eng MPEB Mandsaur","Payment Success","171462"
"4412","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18362/2025-2026/213597","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","29-Dec-2025","Executive Eng MPEB Mandsaur","Payment Success","339973"
"4413","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249487","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","22-Jul-2026","Gp Gudha","Payment Success","200000"
"4414","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249487","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","29-Dec-2025","Gp Gudha","Payment Success","300000"
"4415","Kerala","Construction of buildings for crèches and anganwadies","WS/MP099/2025-2026/233093","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","05-Jan-2026","K BAIJU KUMAR","Payment Success","497386"
"4416","Kerala","Construction of buildings for crèches and anganwadies","WS/MP099/2025-2026/233093","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","16-Mar-2026","K BAIJU KUMAR","Payment Success","711447"
"4417","Kerala","Construction of buildings for crèches and anganwadies","WS/MP099/2025-2026/233093","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","07-Jul-2026","K BAIJU KUMAR","Payment Success","771425"
"4418","Punjab","Construction of community centers and community halls","WS/MP140/2023-2024/107762","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","27-Dec-2025","JAGJIT ELECTRIC WORKS BANGA","Payment Success","16500"
"4419","Himachal Pradesh","Installing hand pumps","WS/MP078/2025-2026/235487","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Block Development officer Nahan","Payment Success","100000"
"4420","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234863","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Aug-2026","OMPRAKASH","Payment Success","105028"
"4421","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234873","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Aug-2026","OMPRAKASH","Payment Success","105162"
"4422","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234875","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Aug-2026","OMPRAKASH","Payment Success","101835"
"4423","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234863","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","14-Jan-2026","OMPRAKASH","Payment Success","324352"
"4424","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234873","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","14-Jan-2026","OMPRAKASH","Payment Success","324352"
"4425","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234875","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","14-Jan-2026","OMPRAKASH","Payment Success","324352"
"4426","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/189899","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","30-Dec-2025","THE VIJAY MAJOOR KAMGAR SAHAKARI SOCIETY","Payment Success","941620"
"4427","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/189898","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","30-Dec-2025","THE VIJAY MAJOOR KAMGAR SAHAKARI SOCIETY","Payment Success","942325"
"4428","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/189900","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","30-Dec-2025","THE VIJAY MAJOOR KAMGAR SAHAKARI SOCIETY","Payment Success","941908"
"4429","Punjab","Purchase of mobile water tankers","WS/MP140/2025-2026/192788","Tarn Taran(DEPUTY COMMOSSIONER TARN TARAN_IDA_2)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","28-Dec-2025","GP Thathian Mahantan","Payment Success","365800"
"4430","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18428/2025-2026/234790","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","01-Jan-2026","THONDA SUJAN","Payment Success","495907"
"4431","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18428/2025-2026/234789","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","30-Dec-2025","THONDA SUJAN","Payment Success","486236"
"4432","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18402/2025-2026/228444","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","19-Jun-2026","The Mahakal Coop L and C Society ltd","Payment Success","432702"
"4433","Haryana","Security gates in streets/public place for safety purpose","WS/MP18402/2025-2026/227824","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","13-Mar-2026","The Mahakal Coop L and C Society ltd","Payment Success","423307"
"4434","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/175544","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","13-Jan-2026","THE VIRENDRA CO OP LAND C SOCIETY","Payment Success","871539"
"4435","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/214413","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","12-May-2026","U R TRADING COMPANY","Payment Success","498391"
"4436","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18298/2025-2026/214412","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","15-Feb-2026","U R TRADING COMPANY","Payment Success","699603"
"4437","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/226165","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","06-Jan-2026","PANWAR CONSTRUCTION COMPANY","Payment Success","1498665"
"4438","Rajasthan","Construction of public libraries and reading rooms","WS/MP18295/2025-2026/193116","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","18-Jun-2026","PANWAR CONSTRUCTION COMPANY","Payment Success","1000000"
"4439","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/188328","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","02-Jan-2026","M R CONSTRUCTION COMPANY","Payment Success","997151"
"4440","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP843/2025-2026/180325","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","06-Jan-2026","SATNAM SINGH JCB CONTRACTOR","Payment Success","24000"
"4441","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234849","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","25-Feb-2026","jaipal","Payment Success","750000"
"4442","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234852","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","25-Feb-2026","jaipal","Payment Success","375000"
"4443","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234852","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","14-Apr-2026","jaipal","Payment Success","124098"
"4444","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234849","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","14-Apr-2026","jaipal","Payment Success","249303"
"4445","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/228984","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","02-Jan-2026","GRAM PANCHAYAT KARYALAY MARKHEL","Payment Success","999000"
"4446","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/206771","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","01-Jan-2026","MS BHAGWATI CONSTRUCTION COMPANY","Payment Success","700000"
"4447","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/213798","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","08-Jan-2026","GRAM PANCHAYAT HARIPUR","Payment Success","50000"
"4448","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/213797","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","08-Jan-2026","GRAM PANCHAYAT HARIPUR","Payment Success","50000"
"4449","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2023-2024/7453","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","17-Feb-2026","THE LOHGARH CO OP SOCIETY LTD","Payment Success","772663"
"4450","Karnataka","Construction of public toilets and bathrooms","WS/MP18296/2025-2026/162099","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Feb-2026","THE TANYA CO OPERATIVE CONSTRUCTION SOCIETY LIMITED","Payment Success","142176"
"4451","Karnataka","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP086/2025-2026/166610","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","31-Dec-2025","THE TANYA CO OPERATIVE CONSTRUCTION SOCIETY LIMITED","Payment Success","207829"
"4452","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213245","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Maninder Singh Mistery Mirpur","Payment Success","28740"
"4453","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/275293","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","10-Aug-2026","sanjeet kumar","Payment Success","1481788"
"4454","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/236730","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","13-Mar-2026","RAJESH SINGH","Payment Success","497649"
"4455","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199609","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","13-Jan-2026","Dasari Venkata Srinivasa Rao","Payment Success","476920"
"4456","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199610","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","13-Jan-2026","Dasari Venkata Srinivasa Rao","Payment Success","498974"
"4457","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199608","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","09-Jan-2026","Dasari Venkata Srinivasa Rao","Payment Success","385123"
"4458","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199611","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","09-Jan-2026","Dasari Venkata Srinivasa Rao","Payment Success","465131"
"4459","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP831/2025-2026/137466","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","05-Jan-2026","AMAR FAROOQ SIDDIQUE","Payment Success","750000"
"4460","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP831/2025-2026/137466","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","04-Jul-2026","AMAR FAROOQ SIDDIQUE","Payment Success","250000"
"4461","Rajasthan","Construction of public libraries and reading rooms","WS/MP146/2025-2026/216725","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","01-Jan-2026","THAR CONSTRUCTION COMPANY","Payment Success","1000000"
"4462","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/174700","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","07-Jan-2026","GRAM PANCHAYAT BHUNDANA","Payment Success","498827"
"4463","Andhra Pradesh","Installing tube-wells and borewells","WS/MP18334/2024-2025/152231","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","02-Jan-2026","M S Dhanalakshmi Constructions","Payment Success","2434014"
"4464","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18329/2026-2027/232440","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","30-Jun-2026","BAHULAYAN S","Payment Success","405596"
"4465","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/182270","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","17-Mar-2026","BAHULAYAN S","Payment Success","400111"
"4466","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2025-2026/241821","SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","20-Jul-2026","Azad Inter College","Payment Success","399764"
"4467","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2025-2026/241821","SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","02-Jan-2026","Azad Inter College","Payment Success","599940"
"4468","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP106/2026-2027/245756","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","10-Jul-2026","ADITYA CONSTRUCTION","Payment Success","200000"
"4469","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/183117","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","05-Feb-2026","KISHAN SINGH","Payment Success","1454755"
"4470","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2025-2026/239209","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","30-Jan-2026","Dhirendra Singh Chaudhary","Payment Success","819318"
"4471","Uttar Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP181/2025-2026/239203","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Dhirendra Singh Chaudhary","Payment Success","1288266"
"4472","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2025-2026/239205","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Dhirendra Singh Chaudhary","Payment Success","642004"
"4473","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249689","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","10-Mar-2026","GP GHATIYAJASS","Payment Success","500000"
"4474","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249689","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","08-Jan-2026","GP GHATIYAJASS","Payment Success","500000"
"4475","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249688","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","05-Feb-2026","GP KHARDIYAMANPOOR","Payment Success","500000"
"4476","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18297/2025-2026/210411","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","10-Mar-2026","GP PIPLYANATH","Payment Success","600000"
"4477","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/236731","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","20-Feb-2026","DANESHWAR NATH CONSTRUCTION","Payment Success","498835"
"4478","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/236733","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","20-Feb-2026","DANESHWAR NATH CONSTRUCTION","Payment Success","497986"
"4479","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/186734","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","25-Mar-2026","R S ENTERPRISES","Payment Success","300000"
"4480","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/186816","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","25-Mar-2026","R S ENTERPRISES","Payment Success","360000"
"4481","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/186734","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","18-May-2026","R S ENTERPRISES","Payment Success","200000"
"4482","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/186816","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","18-May-2026","R S ENTERPRISES","Payment Success","240000"
"4483","Andhra Pradesh","Installing tube-wells and borewells","WS/MP18334/2025-2026/205239","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","23-Feb-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","398792"
"4484","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/145214","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","23-Feb-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","199709"
"4485","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205246","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","02-Jan-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","498635"
"4486","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205237","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","02-Jan-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","498576"
"4487","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205245","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","02-Jan-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","498782"
